Title,Author,First Published Year,Subjects,Cover Image URL
Carrie,Stephen King,1974,occult & supernatural fiction,http://covers.openlibrary.org/b/id/8576476-L.jpg
The Shining,Stephen King,1977,Fiction,http://covers.openlibrary.org/b/id/7013717-L.jpg
Misery,Stephen King,1978,dope,http://covers.openlibrary.org/b/id/8259296-L.jpg
Skeleton Crew,Stephen King,1985,American Horror tales,http://covers.openlibrary.org/b/id/2304117-L.jpg
Salem's Lot,Stephen King,1975,Catholic Church,http://covers.openlibrary.org/b/id/9256116-L.jpg
It,Stephen King,1986,coming of age,http://covers.openlibrary.org/b/id/8569284-L.jpg
Pet Sematary,Stephen King,1983,fiction,http://covers.openlibrary.org/b/id/12015500-L.jpg
Cujo,Stephen King,1981,suspense,http://covers.openlibrary.org/b/id/8570003-L.jpg
The Gunslinger,Stephen King,1976,succubus,http://covers.openlibrary.org/b/id/8396638-L.jpg
The Green Mile,Stephen King,1996,horror fiction,http://covers.openlibrary.org/b/id/9334567-L.jpg
The Dead Zone,Stephen King,1979,brain tumors,http://covers.openlibrary.org/b/id/401165-L.jpg
Firestarter,Stephen King,1980,Genetic Engineering,http://covers.openlibrary.org/b/id/12015446-L.jpg
The Stand,Stephen King,1978,suspense & thriller,http://covers.openlibrary.org/b/id/9255992-L.jpg
On Writing,Stephen King,1999,writing,http://covers.openlibrary.org/b/id/9255939-L.jpg
The Girl Who Loved Tom Gordon,Stephen King,1999,Little House on the Prairie,http://covers.openlibrary.org/b/id/8569854-L.jpg
Different Seasons,Stephen King,1982,first-person narrative,http://covers.openlibrary.org/b/id/8288253-L.jpg
The Talisman,Stephen King,1984,Fantastique,http://covers.openlibrary.org/b/id/210868-L.jpg
The Waste Lands,Stephen King,1991,thrillers,http://covers.openlibrary.org/b/id/8443630-L.jpg
The Eyes of the Dragon,Stephen King,1959,suspense,http://covers.openlibrary.org/b/id/8524085-L.jpg
Night Shift,Stephen King,1978,euthanasia,http://covers.openlibrary.org/b/id/9255946-L.jpg
The Drawing of the Three,Stephen King,1987,sociopaths,http://covers.openlibrary.org/b/id/9255988-L.jpg
Bag of Bones,Stephen King,1998,trials,http://covers.openlibrary.org/b/id/8401515-L.jpg
Hearts in Atlantis,Stephen King,1998,Lord of the Flies,http://covers.openlibrary.org/b/id/8536326-L.jpg
Christine,Stephen King,1983,carbon monoxide,http://covers.openlibrary.org/b/id/9255994-L.jpg
Needful Things,Stephen King,1991,suspense,http://covers.openlibrary.org/b/id/8404327-L.jpg
Dreamcatcher,Stephen King,2001,male friendship,http://covers.openlibrary.org/b/id/8400669-L.jpg
Rose Madder,Stephen King,1995,rose madder,http://covers.openlibrary.org/b/id/8578049-L.jpg
The Dark Half,Stephen King,1989,alcohol abuse,http://covers.openlibrary.org/b/id/8530409-L.jpg
Thinner,Stephen King,1984,gluttony,http://covers.openlibrary.org/b/id/8274288-L.jpg
Desperation,Stephen King,1996,Fiction,http://covers.openlibrary.org/b/id/8757374-L.jpg
Everything's Eventual,Stephen King,2002,Apple computers,http://covers.openlibrary.org/b/id/8585782-L.jpg
Wizard and Glass,Stephen King,1997,crystal balls,http://covers.openlibrary.org/b/id/8595436-L.jpg
Danse Macabre,Stephen King,1981,The Fog,http://covers.openlibrary.org/b/id/8443662-L.jpg
The Regulators,Stephen King,1996,science fiction,http://covers.openlibrary.org/b/id/8401590-L.jpg
Gerald's Game,Stephen King,1992,Horror tales,http://covers.openlibrary.org/b/id/10705875-L.jpg
Black House,Stephen King,2001,Fiction,http://covers.openlibrary.org/b/id/10713432-L.jpg
The Tommyknockers,Stephen King,1985,aliens,http://covers.openlibrary.org/b/id/6997458-L.jpg
Insomnia,Stephen King,1994,Bram Stoker Award for Best Novel,http://covers.openlibrary.org/b/id/7886954-L.jpg
Four Past Midnight,Stephen King,1990,paranormal,http://covers.openlibrary.org/b/id/8413143-L.jpg
Dolores Claiborne,Stephen King,1992,Women,http://covers.openlibrary.org/b/id/9255997-L.jpg
Mr. Mercedes,Stephen King,2013,horror,http://covers.openlibrary.org/b/id/9155058-L.jpg
From a Buick 8,Stephen King,2002,Pennsylvania State Police,http://covers.openlibrary.org/b/id/8400576-L.jpg
Cell,Stephen King,2006,computer worms,http://covers.openlibrary.org/b/id/8288254-L.jpg
Lisey's Story,Stephen King,1768,fiction,http://covers.openlibrary.org/b/id/8387657-L.jpg
Under the Dome,Stephen King,1925,Fiction,http://covers.openlibrary.org/b/id/8275695-L.jpg
Doctor Sleep,Stephen King,2013,Fiction,http://covers.openlibrary.org/b/id/10220646-L.jpg
The Running Man,Stephen King,1982,horror fiction,http://covers.openlibrary.org/b/id/8565864-L.jpg
11/22/1963,Stephen King,2011,Assassination,http://covers.openlibrary.org/b/id/10713447-L.jpg
Wolves of the Calla,Stephen King,2003,lightsabers,http://covers.openlibrary.org/b/id/8971126-L.jpg
"Full Dark, No Stars",Stephen King,2010,Chevrolet Suburbans,http://covers.openlibrary.org/b/id/12018685-L.jpg
Nightmares & Dreamscapes,Stephen King,1993,horror tales,http://covers.openlibrary.org/b/id/8443317-L.jpg
